c Matrix header
t matrices
d matrix=mf71
a matrix=mf71 Dist 0 COMMENT
 1 1: 0
 1 2: 7182
 1 3: 15634.9980
 1 4: 23180.9980
 1 5: 15533.9980
 1 6: 30531.0039
 1 7: 47291
 1 8: 9940.00195
 1 9: 10772.0029
 1 10: 17327.0019
 1 11: 26253
 1 12: 45012.0078
 1 13: 53452.0078
 1 14: 51295.0117
 1 15: 90100
 1 16: 91504.9843
 1 17: 60492
 1 18: 68650
 1 19: 69266.0078
 1 20: 67486
 1 21: 49757.0078
 1 22: 34456
 1 23: 51594
 1 24: 102760.984
 1 25: 64037.9882
 1 26: 41513
 1 27: 91613
 1 28: 108692
 1 29: 73069.6328
 1 30: 65341.6367
 1 31: 110161.625
 1 32: 270856
 1 33: 96516.0078
 1 34: 125328.960
 1 35: 195662.968
 1 36: 335221.031
 1 37: 97589.6328
 1 38: 110161.625
 1 39: 4612.99951
 1 40: 58119.0156
 1 41: 55512.0039
 1 42: 111228.007
 1 43: 52592.6328
 1 44: 52201.0078
 1 45: 53956.0078
 1 46: 55588.0078
 1 47: 74508.9921
 1 48: 52832.6328
 1 49: 47127.3398
 1 50: 25571
 1 51: 70223.6406
 1 52: 77097.6406
 1 53: 75229.6328
 1 54: 55887.625
 1 55: 23968
 1 56: 7435.99902
 1 57: 10012.9980
 1 58: 16435.0019
 1 59: 11967.0009
 1 60: 30814
 1 61: 16687.9980
 1 62: 294751.937
 1 63: 146964
 1 64: 81509.9843
 1 65: 54905.1809
 1 66: 44362.2007
 1 67: 44027.3249
 1 68: 42768.5301
 1 69: 47334.7529
 1 70: 42291.6666
 1 71: 36670.7556
 1 72: 35026.8835
 1 73: 29637.8820
 1 74: 30048.2387
 1 75: 26914.8144
 1 76: 25270.4645
 1 77: 35895.2844
 1 78: 31797.1800
 1 79: 30607.9671
 1 80: 28188.2777
 1 81: 29788.4094
 1 82: 27183.3021
 1 83: 23941.4914
 1 84: 22892.1726
 1 85: 29970.9226
 1 86: 28691.7299
 1 87: 26774.9199
 1 88: 19678.2873
 1 89: 21006.9708
 1 90: 21437.3449
 1 91: 16759.3712
 1 92: 17905.8159
 1 93: 20668.5157
 1 94: 20048.5590
 1 95: 28431.7983
 1 96: 19444.4240
 1 97: 15588.5361
 1 98: 17835.3096
 1 99: 13515.8647
 1 100: 11105
 1 101: 15900.7778
 1 102: 11429.1677
 1 103: 12456.7259
 1 104: 22154.7976
 1 105: 15728.2063
 1 106: 30454.2212
 1 107: 39371.4466
 1 108: 37833.5400
 1 109: 37565.3822
 1 110: 48032.9960
 1 111: 45994.8640
 1 112: 32327.0393
 1 113: 33754.1453
 1 114: 30972.9360
 1 115: 37728.5067
 1 116: 20120.4168
 1 117: 43166.9924
 1 118: 27163.9981
 1 119: 30431.8178
 1 120: 28840.9307
 1 121: 32839.6152
 1 122: 34109.7997
 1 123: 31843.2680
 1 124: 27376.6615
 1 125: 24667.2678
 1 126: 23996.4773
 1 127: 24573.9694
 1 128: 20252.4171
 1 129: 16569.1101
 1 130: 20134.1569
 1 131: 21803.7775
 1 132: 15226.8748
 1 133: 14272.5948
 1 134: 20942.3028
 1 135: 53537.9012
 1 136: 29166.4934
 1 137: 23464.4570
 1 138: 49075.3071
 1 139: 31347.4318
 1 140: 16340.8119
 1 141: 13389.0569
 1 142: 9677.32179
 1 143: 8032.21630
 1 144: 13175.2353
 1 145: 13597.7374
 1 146: 19473.0614
 1 147: 25533.9027
 1 148: 24323.7719
 1 149: 39500.7788
 2 1: 7182
 2 3: 13937.0019
 2 4: 21483.0019
 2 5: 13836.0019
 2 6: 25966
 2 7: 44908
 2 8: 16122.0009
 2 9: 16953.9941
 2 10: 23508.9980
 2 11: 32435.0019
 2 12: 51194.0039
 2 13: 59634
 2 14: 46038.9960
 2 15: 84843.9921
 2 16: 86249
 2 17: 55236
 2 18: 63394.0117
 2 19: 64009.9960
 2 20: 60820.9843
 2 21: 43092.0039
 2 22: 32758.0058
 2 23: 57776.0078
 2 24: 101063
 2 25: 62340.0039
 2 26: 39814.9921
 2 27: 89915.0156
 2 28: 102027.015
 2 29: 79278.8125
 2 30: 71550.8203
 2 31: 116370.812
 2 32: 277037.968
 2 33: 94818.0078
 2 34: 118664
 2 35: 190407.015
 2 36: 329964.968
 2 37: 103798.828
 2 38: 116370.812
 2 39: 10794.9990
 2 40: 52862.9960
 2 41: 53814.0156
 2 42: 104563.007
 2 43: 58801.8242
 2 44: 46944.9960
 2 45: 48700
 2 46: 50332.0039
 2 47: 69252.9921
 2 48: 59041.8164
 2 49: 53309.3320
 2 50: 23873.0039
 2 51: 76432.8125
 2 52: 83306.8281
 2 53: 74969.5781
 2 54: 62096.8203
 2 55: 22270.0039
 2 56: 5738
 2 57: 16195.0029
 2 58: 22617.0019
 2 59: 18149
 2 60: 36996.0039
 2 61: 22869.9921
 2 62: 288087.062
 2 63: 153146.015
 2 64: 87692
 2 65: 49847.0156
 2 66: 39336.5295
 2 67: 38789.3179
 2 68: 51902.9977
 2 69: 41934.8579
 2 70: 37268.6691
 2 71: 31376.4327
 2 72: 34248.0473
 2 73: 35846.6440
 2 74: 35932.1358
 2 75: 33353.8079
 2 76: 31396.4202
 2 77: 42206.1228
 2 78: 38006.3652
 2 79: 36479.7604
 2 80: 34587.2682
 2 81: 36004.3573
 2 82: 24925.5090
 2 83: 22018.6772
 2 84: 20729.5643
 2 85: 25268.5135
 2 86: 24160.5502
 2 87: 21554.2291
 2 88: 20757.9852
 2 89: 19016.0048
 2 90: 27750.9458
 2 91: 20214.3198
 2 92: 24103.8251
 2 93: 26761.5949
 2 94: 26218.5512
 2 95: 34831.6131
 2 96: 25502.8945
 2 97: 21760.5374
 2 98: 23944.0967
 2 99: 19704.5547
 2 100: 17286.9980
 2 101: 22426.8956
 2 102: 17660.1100
 2 103: 18718.0554
 2 104: 17550.2508
 2 105: 11085.5504
 2 106: 36927.5443
 2 107: 45562.5091
 2 108: 44329.1716
 2 109: 32393.6131
 2 110: 42777.0039
 2 111: 40735.3636
 2 112: 26953.2571
 2 113: 28468.1941
 2 114: 25539.8194
 2 115: 44730.5287
 2 116: 26389.5542
 2 117: 43008.1575
 2 118: 33345.4276
 2 119: 36530.3627
 2 120: 35101.7154
 2 121: 39089.2282
 2 122: 39923.1130
 2 123: 38757.1848
 2 124: 33551.5789
 2 125: 30943.4137
 2 126: 30194.8097
 2 127: 24733.8594
 2 128: 23199.6135
 2 129: 22903.1605
 2 130: 26394.5015
 2 131: 24262.5946
 2 132: 13915.6093
 2 133: 18808.5841
 2 134: 17686.7859
 2 135: 48216.0804
 2 136: 24210.6784
 2 137: 20971.6201
 2 138: 43818.6220
 2 139: 29141.6285
 2 140: 8533.94745
 2 141: 6922.01164
 2 142: 15860.1837
 2 143: 14249.6366
 2 144: 19497.3006
 2 145: 19774.9447
 2 146: 25691.6345
 2 147: 31717.1751
 2 148: 30578.0849
 2 149: 45881.9632
 3 1: 15634.9980
 3 2: 13937.0019
 3 4: 19914.9980
 3 5: 13647.0019
 3 6: 33917
 3 7: 46001
 3 8: 24575.0039
 3 9: 25407.0039
 3 10: 31961.9980
 3 11: 40888.0039
 3 12: 59646.9960
 3 13: 68087.0156
 3 14: 58410.0117
 3 15: 97215.0156
 3 16: 98619.9843
 3 17: 67607
 3 18: 75765
 3 19: 78434.9921
 3 20: 64327.9921
 3 21: 46599.0039
 3 22: 19821.0019
 3 23: 66229
 3 24: 88126.0078
 3 25: 49402.9960
 3 26: 34675
 3 27: 84775.0156
 3 28: 102691.992
 3 29: 87704.6406
 3 30: 79976.6328
 3 31: 124796.640
 3 32: 278986.968
 3 33: 81880.9921
 3 34: 122170.968
 3 35: 199529.015
 3 36: 339086.937
 3 37: 112224.648
 3 38: 124796.640
 3 39: 19248.0039
 3 40: 64172.0078
 3 41: 48674.0117
 3 42: 108070
 3 43: 67227.6171
 3 44: 59316.0117
 3 45: 61071.0156
 3 46: 62703.0078
 3 47: 81624.0078
 3 48: 67467.6328
 3 49: 61762.3476
 3 50: 9819.00098
