Purpose, Direction, CountOfSurveyYear, Trips, StageDistance
Business, FH, 1.00000, 1.07094, 135.00000
Business, FH, 1.00000, 1.17447, 350.00000
Business, FH, 1.00000, 1.25521, 1.50000
Business, FH, 1.00000, 1.29806, 178.30000
Business, FH, 1.00000, 1.74485, 180.00000
Business, FH, 1.00000, 0.88786, 243.00000
Business, FH, 1.00000, 1.00841, 274.00000
Business, FH, 1.00000, 0.72834, 90.00000
Business, FH, 1.00000, 1.17730, 135.00000
Business, FH, 1.00000, 0.88667, 140.00000
Business, FH, 1.00000, 1.05502, 145.00000
Business, FH, 1.00000, 1.09345, 200.00000
Business, FH, 1.00000, 0.66840, 10.00000
Business, FH, 1.00000, 1.36232, 11.30000
Business, FH, 1.00000, 0.62614, 17.00000
Business, FH, 1.00000, 0.88703, 20.00000
Business, FH, 1.00000, 0.86123, 27.00000
Business, FH, 1.00000, 1.19217, 29.00000
Business, FH, 2.00000, 2.00644, 30.00000
Business, FH, 3.00000, 3.89417, 31.50000
Business, FH, 1.00000, 1.60450, 35.00000
Business, FH, 2.00000, 1.72134, 37.00000
Business, FH, 1.00000, 1.14331, 38.00000
Business, FH, 2.00000, 2.17155, 40.00000
Business, FH, 1.00000, 0.97587, 41.00000
Business, FH, 1.00000, 1.27695, 42.40000
Business, FH, 1.00000, 0.88703, 46.00000
Business, FH, 1.00000, 0.97587, 58.00000
Business, FH, 3.00000, 3.25796, 65.00000
Business, FH, 1.00000, 0.96360, 69.50000
Business, FH, 2.00000, 2.08791, 74.00000
Business, FH, 1.00000, 0.97245, 81.00000
Business, FH, 1.00000, 0.98549, 82.00000
Business, FH, 2.00000, 1.81876, 88.00000
Business, FH, 1.00000, 0.91280, 101.00000
Business, FH, 2.00000, 2.71406, 110.00000
Business, FH, 1.00000, 0.79449, 135.00000
Business, FH, 1.00000, 1.03806, 142.00000
Business, FH, 1.00000, 0.72341, 146.00000
Business, FH, 1.00000, 0.74945, 2.00000
Business, FH, 1.00000, 1.12395, 62.00000
Business, FH, 2.00000, 2.28663, 73.00000
Business, FH, 1.00000, 1.14331, 75.00000
Business, FH, 1.00000, 0.67166, 80.00000
Business, FH, 1.00000, 0.90369, 83.00000
Business, FH, 1.00000, 0.92405, 100.00000
Business, FH, 1.00000, 0.93778, 109.00000
Business, FH, 1.00000, 0.83666, 126.00000
Business, FH, 1.00000, 1.10716, 127.00000
Business, FH, 1.00000, 0.83082, 158.00000
Business, FH, 1.00000, 0.94492, 160.00000
Business, FH, 1.00000, 0.77196, 169.00000
Business, FH, 1.00000, 1.04035, 179.00000
Business, FH, 3.00000, 2.85332, 0.25000
Business, FH, 1.00000, 0.84271, 0.30000
Business, FH, 19.00000, 20.24994, 0.50000
Business, FH, 3.00000, 2.83086, 0.50000
Business, FH, 1.00000, 0.93317, 0.50000
Business, FH, 1.00000, 1.29359, 0.60000
Business, FH, 1.00000, 1.24173, 0.70000
Business, FH, 1.00000, 1.01471, 0.70000
Business, FH, 1.00000, 0.81187, 0.90000
Business, FH, 53.00000, 53.59268, 1.00000
Business, FH, 2.00000, 1.71853, 1.00000
Business, FH, 6.00000, 6.14350, 1.00000
Business, FH, 2.00000, 2.14888, 1.20000
Business, FH, 22.00000, 23.47949, 1.50000
Business, FH, 6.00000, 6.62287, 1.50000
Business, FH, 1.00000, 0.95663, 1.50000
Business, FH, 1.00000, 0.93581, 1.70000
Business, FH, 5.00000, 4.33097, 1.90000
Business, FH, 48.00000, 50.27871, 2.00000
Business, FH, 5.00000, 5.34856, 2.00000
Business, FH, 5.00000, 4.96865, 2.00000
Business, FH, 4.00000, 3.80370, 2.10000
Business, FH, 1.00000, 0.72241, 2.30000
Business, FH, 1.00000, 0.62985, 2.40000
Business, FH, 18.00000, 20.01604, 2.50000
Business, FH, 1.00000, 1.10695, 2.50000
Business, FH, 1.00000, 1.24208, 2.60000
Business, FH, 1.00000, 1.24208, 2.60000
Business, FH, 8.00000, 8.65184, 2.70000
Business, FH, 2.00000, 3.08624, 2.86000
Business, FH, 53.00000, 55.07508, 3.00000
Business, FH, 5.00000, 5.38989, 3.00000
Business, FH, 4.00000, 4.67135, 3.00000
Business, FH, 1.00000, 0.86158, 3.10000
Business, FH, 2.00000, 2.33146, 3.20000
Business, FH, 2.00000, 2.11875, 3.30000
Business, FH, 2.00000, 2.24868, 3.40000
Business, FH, 4.00000, 4.46090, 3.50000
Business, FH, 3.00000, 2.83180, 3.60000
Business, FH, 2.00000, 2.11468, 3.60000
Business, FH, 1.00000, 0.89895, 3.70000
Business, FH, 2.00000, 1.66247, 3.80000
Business, FH, 41.00000, 42.43778, 4.00000
Business, FH, 2.00000, 2.17755, 4.00000
Business, FH, 1.00000, 1.33470, 4.00000
Business, FH, 8.00000, 7.57818, 4.20000
Business, FH, 3.00000, 2.98262, 4.30000
Business, FH, 8.00000, 7.85505, 4.50000
Business, FH, 1.00000, 0.86561, 4.50000
Business, FH, 1.00000, 0.86561, 4.50000
Business, FH, 1.00000, 0.76178, 4.83000
Business, FH, 1.00000, 0.76178, 4.83000
Business, FH, 44.00000, 44.54950, 5.00000
Business, FH, 6.00000, 5.12716, 5.00000
Business, FH, 5.00000, 5.75454, 5.00000
Business, FH, 1.00000, 0.62614, 5.10000
Business, FH, 4.00000, 4.94751, 5.50000
Business, FH, 2.00000, 2.04898, 5.60000
Business, FH, 1.00000, 1.36232, 5.80000
Business, FH, 1.00000, 1.10883, 5.80000
Business, FH, 49.00000, 54.57871, 6.00000
Business, FH, 8.00000, 8.46376, 6.00000
Business, FH, 2.00000, 2.52024, 6.00000
Business, FH, 1.00000, 1.54312, 6.40000
Business, FH, 2.00000, 2.61584, 6.42000
Business, FH, 1.00000, 0.76178, 6.44000
Business, FH, 1.00000, 1.27695, 6.50000
Business, FH, 1.00000, 1.23835, 6.60000
Business, FH, 1.00000, 1.17570, 6.80000
Business, FH, 23.00000, 23.16369, 7.00000
Business, FH, 4.00000, 4.43484, 7.00000
Business, FH, 2.00000, 1.97029, 7.00000
Business, FH, 1.00000, 1.10883, 7.10000
Business, FH, 1.00000, 0.72474, 7.30000
Business, FH, 1.00000, 0.81187, 7.40000
Business, FH, 2.00000, 2.11523, 7.50000
Business, FH, 2.00000, 2.08166, 7.60000
Business, FH, 1.00000, 1.12993, 7.80000
Business, FH, 1.00000, 0.88423, 7.90000
Business, FH, 27.00000, 27.92348, 8.00000
Business, FH, 1.00000, 1.36232, 8.10000
Business, FH, 4.00000, 3.56751, 8.40000
Business, FH, 2.00000, 1.75266, 8.50000
Business, FH, 1.00000, 0.94197, 8.50000
Business, FH, 1.00000, 0.94197, 8.50000
Business, FH, 1.00000, 1.23835, 8.60000
Business, FH, 25.00000, 26.15940, 9.00000
Business, FH, 1.00000, 0.86831, 9.00000
Business, FH, 2.00000, 1.96791, 9.00000
Business, FH, 1.00000, 1.25556, 9.30000
Business, FH, 1.00000, 1.09570, 9.50000
Business, FH, 39.00000, 36.54101, 10.00000
Business, FH, 1.00000, 0.97035, 10.00000
Business, FH, 1.00000, 0.74059, 10.30000
Business, FH, 3.00000, 3.27084, 10.50000
Business, FH, 1.00000, 1.36232, 10.80000
Business, FH, 9.00000, 8.70351, 11.00000
Business, FH, 1.00000, 0.92809, 11.00000
Business, FH, 1.00000, 0.92809, 11.00000
Business, FH, 1.00000, 0.83849, 11.30000
Business, FH, 3.00000, 2.50415, 11.50000
Business, FH, 14.00000, 14.41200, 12.00000
Business, FH, 3.00000, 3.09236, 12.00000
Business, FH, 1.00000, 1.30792, 12.00000
Business, FH, 2.00000, 1.74433, 12.50000
Business, FH, 2.00000, 1.53398, 12.70000
Business, FH, 15.00000, 13.69092, 13.00000
Business, FH, 1.00000, 0.82157, 13.00000
Business, FH, 1.00000, 0.94322, 13.00000
Business, FH, 6.00000, 6.41091, 13.50000
Business, FH, 1.00000, 0.88133, 13.90000
Business, FH, 15.00000, 15.55928, 14.00000
Business, FH, 1.00000, 1.91404, 14.00000
Business, FH, 1.00000, 0.92321, 14.50000
Business, FH, 3.00000, 2.51762, 14.60000
Business, FH, 3.00000, 3.05722, 14.80000
Business, FH, 22.00000, 23.21237, 15.00000
Business, FH, 1.00000, 1.37451, 15.00000
Business, FH, 1.00000, 1.51381, 15.00000
Business, FH, 1.00000, 0.83956, 15.50000
Business, FH, 4.00000, 5.25956, 15.60000
Business, FH, 21.00000, 21.91990, 16.00000
Business, FH, 1.00000, 1.10716, 16.00000
Business, FH, 1.00000, 1.07137, 16.20000
Business, FH, 1.00000, 0.82832, 16.40000
Business, FH, 16.00000, 13.67024, 17.00000
Business, FH, 1.00000, 1.15280, 17.30000
Business, FH, 5.00000, 7.45159, 17.70000
Business, FH, 1.00000, 1.49032, 17.70000
Business, FH, 14.00000, 15.22673, 18.00000
Business, FH, 1.00000, 1.17625, 18.00000
Business, FH, 1.00000, 0.74059, 18.20000
Business, FH, 1.00000, 0.88812, 18.50000
Business, FH, 1.00000, 0.67166, 18.50000
Business, FH, 6.00000, 5.94358, 19.00000
Business, FH, 1.00000, 1.10211, 19.00000
Business, FH, 1.00000, 0.76077, 19.30000
Business, FH, 3.00000, 2.53472, 19.50000
Business, FH, 19.00000, 18.01499, 20.00000
Business, FH, 1.00000, 1.03628, 20.00000
Business, FH, 1.00000, 0.94945, 20.00000
Business, FH, 1.00000, 1.39471, 20.50000
Business, FH, 1.00000, 0.88703, 20.70000
Business, FH, 4.00000, 3.76579, 21.00000
Business, FH, 1.00000, 0.94290, 21.00000
Business, FH, 7.00000, 6.85568, 22.00000
Business, FH, 2.00000, 1.38255, 22.00000
Business, FH, 1.00000, 1.07744, 22.20000
Business, FH, 4.00000, 4.38561, 22.50000
Business, FH, 1.00000, 1.18022, 22.60000
Business, FH, 10.00000, 9.62083, 23.00000
Business, FH, 1.00000, 1.25556, 23.70000
Business, FH, 1.00000, 1.25556, 23.70000
Business, FH, 5.00000, 5.52991, 24.00000
Business, FH, 1.00000, 0.74272, 24.00000
Business, FH, 1.00000, 0.81757, 24.60000
Business, FH, 9.00000, 9.17527, 25.00000
Business, FH, 6.00000, 6.10873, 26.00000
Business, FH, 1.00000, 0.79365, 26.00000
Business, FH, 6.00000, 6.66379, 27.00000
Business, FH, 2.00000, 2.17089, 27.00000
Business, FH, 1.00000, 1.37373, 27.00000
Business, FH, 1.00000, 0.81757, 27.50000
Business, FH, 8.00000, 8.28211, 28.00000
Business, FH, 1.00000, 0.93953, 28.10000
Business, FH, 1.00000, 0.92934, 28.50000
Business, FH, 1.00000, 0.91711, 29.00000
Business, FH, 9.00000, 9.06553, 30.00000
Business, FH, 1.00000, 1.07137, 30.30000
Business, FH, 4.00000, 3.97077, 31.00000
Business, FH, 7.00000, 7.24055, 32.00000
Business, FH, 1.00000, 1.16402, 33.00000
Business, FH, 3.00000, 3.66504, 34.00000
Business, FH, 1.00000, 1.30792, 34.00000
Business, FH, 4.00000, 3.42755, 35.00000
Business, FH, 1.00000, 0.89380, 35.30000
Business, FH, 6.00000, 6.31509, 36.00000
Business, FH, 2.00000, 1.60218, 37.00000
Business, FH, 1.00000, 0.87191, 37.50000
Business, FH, 2.00000, 1.89528, 38.00000
Business, FH, 1.00000, 0.95323, 38.00000
Business, FH, 5.00000, 4.21811, 39.00000
Business, FH, 1.00000, 0.74755, 39.30000
Business, FH, 6.00000, 6.43403, 40.00000
Business, FH, 2.00000, 1.85625, 42.00000
Business, FH, 3.00000, 2.88183, 43.00000
Business, FH, 3.00000, 3.17216, 44.00000
Business, FH, 2.00000, 2.08431, 45.00000
Business, FH, 2.00000, 2.15293, 46.00000
Business, FH, 2.00000, 2.27219, 47.00000
Business, FH, 1.00000, 0.72834, 48.00000
Business, FH, 1.00000, 1.06667, 49.00000
Business, FH, 1.00000, 0.75756, 49.00000
